date,loc,avr_temp,min_temp,max_temp
2021-01-01,143,-1.8,-5.7,2.6
2021-01-02,143,-0.9,-3.7,2.1
2021-01-03,143,-1.3,-4.1,2.1
2021-01-04,143,-0.3,-5.8,5.5
2021-01-05,143,-1.1,-5.1,2.6
2021-01-06,143,-4,-7.5,0.4
2021-01-07,143,-8.7,-12.4,-1.2
2021-01-08,143,-10.4,-13.6,-5.8
2021-01-09,143,-8,-11.4,-3.1
2021-01-10,143,-4.7,-10.8,1.2
2021-01-11,143,-4.2,-8.5,-0.8
2021-01-12,143,-1.5,-8.8,4.3
2021-01-13,143,3.6,-5.2,11.7
2021-01-14,143,4.4,-2.3,12.9
2021-01-15,143,8.3,0.6,16.1
2021-01-16,143,1.7,-3.3,8.3
2021-01-17,143,-2.8,-5.6,1.1
2021-01-18,143,-1.9,-6.6,4.4
2021-01-19,143,-2.6,-6.9,3.4
2021-01-20,143,-0.8,-8.5,8.6
2021-01-21,143,4.5,-3.8,11.5
2021-01-22,143,8.2,5.2,10.7
2021-01-23,143,9.3,7.4,11.8
2021-01-24,143,8,6.5,10.3
2021-01-25,143,7.4,3,12
2021-01-26,143,6.1,4.3,7.7
2021-01-27,143,5.8,2.9,10.4
2021-01-28,143,1.2,-4.7,11.1
2021-01-29,143,-4.4,-7.8,-0.2
2021-01-30,143,0.9,-7.4,9
2021-01-31,143,4.5,-4.3,12.1
2021-02-01,143,7.1,3.9,10.1
2021-02-02,143,-0.4,-3.2,7.1
2021-02-03,143,-1,-5.3,4.8
2021-02-04,143,1.4,-2.8,5.8
2021-02-05,143,1.5,-5.4,7.9
2021-02-06,143,5.2,-2.9,14.5
2021-02-07,143,6.6,-0.2,14
2021-02-08,143,0.4,-2.3,4.4
2021-02-09,143,1.6,-3.4,7.7
2021-02-10,143,3.9,-2.8,10.9
2021-02-11,143,5.8,-0.9,12
2021-02-12,143,7.7,1.1,16.6
2021-02-13,143,8.6,-0.9,19.1
2021-02-14,143,7.7,3.4,12.8
2021-02-15,143,5.9,-1.6,11.3
2021-02-16,143,-0.1,-3.6,6.1
2021-02-17,143,-4.8,-6.4,-2.4
2021-02-18,143,-4.4,-8.5,0.2
2021-02-19,143,4.3,-4,12.9
2021-02-20,143,11.3,3.7,20.4
2021-02-21,143,14.3,4,24.4
2021-02-22,143,13.7,6.8,22.8
2021-02-23,143,5.9,1.3,11.5
2021-02-24,143,5.5,1.1,12.7
2021-02-25,143,5,0.6,9.8
2021-02-26,143,8.3,5,12
2021-02-27,143,6.7,4.4,8.9
2021-02-28,143,7.4,1.7,13
2021-03-01,143,8.9,3.4,16.1
2021-03-02,143,2.6,0,6.2
2021-03-03,143,4.1,-1.5,9.5
2021-03-04,143,5.9,0.8,11.5
2021-03-05,143,10.6,4.3,19
2021-03-06,143,6.2,3.7,9.5
2021-03-07,143,5.5,3.5,8.8
2021-03-08,143,6.3,-0.6,14
2021-03-09,143,9,2.2,15.1
2021-03-10,143,8.8,2.6,14.1
2021-03-11,143,10,1.5,18.2
2021-03-12,143,9,7.6,11.6
2021-03-13,143,9.8,3.5,16
2021-03-14,143,10.5,4.6,17.2
2021-03-15,143,12.5,3.9,19.7
2021-03-16,143,14.9,10.6,20.1
2021-03-17,143,10.5,3.5,17.8
2021-03-18,143,10.4,5.2,16.6
2021-03-19,143,11.2,8.6,15.4
2021-03-20,143,9.9,8.3,10.9
2021-03-21,143,8.8,5.1,11.7
2021-03-22,143,7.9,3.3,13
2021-03-23,143,11.4,1.7,20.2
2021-03-24,143,11.5,4.3,18.2
2021-03-25,143,14.1,5.7,22.3
2021-03-26,143,15.3,6.7,23.9
2021-03-27,143,12.7,6.5,17.1
2021-03-28,143,15.8,11.7,20.2
2021-03-29,143,15.1,10.9,19.5
2021-03-30,143,14.6,10.5,21.3
2021-03-31,143,13.6,4.7,23.1
